Length_Auto,Width_Auto,Height_Auto,Volume,Colour,Length_Manual,Width_Manual,Height_Manual,Volume_Manual,Colour_Manual
71.214,82.969,83.808,346.628887,49.0909,75.321,79.351,83.161,347.9254716,3
193.081,121.413,210.238,3449.959415,56.7568,189.355,113.642,208.561,3141.570326,5
83.161,75.168,112.643,492.895606,56.3636,80.235,73.315,109.633,451.4358389,5
135.613,112.358,122.636,1308.04095,50.7692,133.315,109.313,122.036,1244.906787,4
85.254,84.516,100.253,505.6489579,50,83.565,83.156,99.343,483.2293664,4
69.316,73.658,75.629,270.2961212,41.25,74.682,73.907,72.351,279.5400844,2
92.264,86.351,94.629,527.7423432,50.7692,87.151,86.359,92.327,486.4147586,3
153.356,130.365,174.518,2442.305843,50.5263,151.31,128.921,173.165,2364.555184,4
142.681,129.132,189.321,2441.725573,47.2727,130.546,130.201,187.159,2226.827855,4
136.351,136.261,196.754,2558.889366,47.1429,151.331,136.157,197.533,2849.086109,4
86.319,83.066,100.216,502.9963141,44,84.159,82.943,94.209,460.3315484,3
